Date,Value,Value USD,Max 7,Min 7,Open 2,Change,Mean Change 7,Drop 7,Up 7,Predict,Prediction,Actual
21-03-2019 18:09,3986.31,3990.3,3995.39,3983.07,3990.3,-3.9900000000002365,0.727142857142813,4.0,3.0,-2.0,0,1
21-03-2019 18:10,3990.3,3988.9,3990.3,3983.07,3988.9,1.400000000000091,0.17142857142854545,4.0,3.0,-1.0,0,0
21-03-2019 18:10,3988.9,3983.74,3990.3,3983.07,3983.74,5.160000000000309,0.3800000000000442,4.0,3.0,-1.0,0,0
21-03-2019 18:11,3983.74,3985.03,3990.3,3983.07,3985.03,-1.2900000000004184,-0.2800000000000052,5.0,2.0,-2.0,0,1
21-03-2019 18:11,3985.03,3981.91,3990.3,3983.74,3981.91,3.1200000000003456,0.28285714285714547,4.0,3.0,-1.0,0,0
21-03-2019 18:12,3981.91,3983.11,3990.3,3981.91,3983.11,-1.2000000000002728,0.18571428571424672,4.0,3.0,-2.0,0,1
21-03-2019 18:13,3983.11,3982.59,3990.3,3981.91,3982.59,0.5199999999999818,0.5314285714285428,3.0,4.0,1.0,1,0
21-03-2019 18:13,3982.59,3984.68,3990.3,3981.91,3984.68,-2.0899999999996908,0.8028571428571922,3.0,4.0,-1.0,0,1
21-03-2019 18:14,3984.68,3985.32,3988.9,3981.91,3985.32,-0.6400000000003274,0.511428571428561,4.0,3.0,-2.0,0,1
21-03-2019 18:14,3985.32,3985.39,3985.32,3981.91,3985.39,-0.06999999999970896,-0.2357142857142987,5.0,2.0,-2.0,0,1
21-03-2019 18:15,3985.39,3985.42,3985.39,3981.91,3985.42,-0.03000000000020009,-0.05571428571426752,5.0,2.0,-2.0,0,1
21-03-2019 18:15,3985.42,3987.37,3985.42,3981.91,3987.37,-1.949999999999818,-0.7800000000000052,6.0,1.0,-2.0,0,1
21-03-2019 18:16,3987.37,3988.05,3987.37,3982.59,3988.05,-0.680000000000291,-0.7057142857142935,6.0,1.0,-2.0,0,1
21-03-2019 18:17,3988.05,3991.22,3988.05,3982.59,3991.22,-3.169999999999618,-1.2328571428570936,7.0,0.0,-2.0,0,1
21-03-2019 18:17,3991.22,3990.04,3991.22,3984.68,3990.04,1.1799999999998363,-0.7657142857143039,6.0,1.0,0.0,0,0
21-03-2019 18:18,3990.04,3992.02,3991.22,3985.32,3992.02,-1.9800000000000182,-0.9571428571428312,6.0,1.0,-2.0,0,1
