Date,Value
27-08-2018 10:53,6724.97
27-08-2018 10:53,6725.0
27-08-2018 10:54,6725.1
27-08-2018 10:54,6725.18
27-08-2018 10:55,6725.09
27-08-2018 10:55,6724.22
27-08-2018 10:56,6724.46
27-08-2018 10:56,6724.13
27-08-2018 10:57,6724.92
27-08-2018 10:57,6724.93
27-08-2018 10:58,6725.14
27-08-2018 10:58,6724.69
27-08-2018 10:59,6725.55
27-08-2018 10:59,6725.37
27-08-2018 11:00,6725.21
27-08-2018 11:00,6724.41
27-08-2018 11:01,6725.16
27-08-2018 11:02,6725.25
27-08-2018 11:02,6725.5
27-08-2018 11:03,6725.5
27-08-2018 11:03,6725.65
27-08-2018 11:04,6725.96
27-08-2018 11:04,6725.94
27-08-2018 11:05,6725.9
27-08-2018 11:05,6726.03
27-08-2018 11:06,6726.06
27-08-2018 11:06,6725.89
27-08-2018 11:07,6726.02
27-08-2018 11:07,6726.16
27-08-2018 11:08,6733.42
27-08-2018 11:08,6735.41
27-08-2018 11:09,6735.41
27-08-2018 11:09,6734.65
27-08-2018 11:10,6734.75
27-08-2018 11:10,6734.59
27-08-2018 11:11,6734.75
27-08-2018 11:11,6733.36
27-08-2018 11:12,6733.4
27-08-2018 11:12,6733.4
27-08-2018 11:13,6733.37
27-08-2018 11:13,6730.91
27-08-2018 11:14,6727.5
27-08-2018 11:15,6727.54
27-08-2018 11:15,6722.94
27-08-2018 11:16,6720.44
27-08-2018 11:17,6721.46
27-08-2018 11:17,6720.38
27-08-2018 11:18,6719.79
27-08-2018 11:18,6719.59
27-08-2018 11:19,6719.45
27-08-2018 11:19,6719.95
27-08-2018 11:20,6719.61
27-08-2018 11:20,6720.45
27-08-2018 11:21,6721.14
27-08-2018 11:21,6719.97
27-08-2018 11:22,6720.65
27-08-2018 11:22,6720.19
27-08-2018 11:23,6720.02
27-08-2018 11:23,6718.72
27-08-2018 11:24,6717.5
27-08-2018 11:24,6717.2
27-08-2018 11:25,6723.41
27-08-2018 11:25,6724.05
27-08-2018 11:26,6725.85
27-08-2018 11:26,6726.06
27-08-2018 11:27,6726.81
27-08-2018 11:28,6727.09
27-08-2018 11:28,6726.14
27-08-2018 11:29,6725.07
27-08-2018 11:29,6721.33
27-08-2018 11:30,6721.08
27-08-2018 11:30,6720.8
27-08-2018 11:31,6718.44
27-08-2018 11:31,6719.82
27-08-2018 11:32,6719.8
27-08-2018 11:32,6719.76
27-08-2018 11:33,6719.25
27-08-2018 11:33,6719.07
27-08-2018 11:34,6717.3
27-08-2018 11:34,6715.64
27-08-2018 11:35,6715.17
27-08-2018 11:35,6713.21
27-08-2018 11:36,6711.93
27-08-2018 11:36,6708.67
27-08-2018 11:37,6710.56
27-08-2018 11:37,6710.36
27-08-2018 11:38,6710.46
