Date,Value USD,Drop 7,Up 7,Min 7,Max 7,Mean 7,Mean Change 7,Change,Predict
01/28/2014,58.110001000000004,3.0,4.0,46.958572,58.110001000000004,52.148571571428526,-1.4363267142857137,0.9071430000000049,-1.0
01/29/2014,57.202858,4.0,3.0,46.958572,58.110001000000004,53.58489828571424,-1.5502041428571434,-0.6071430000000007,-2.0
01/30/2014,57.810001,4.0,3.0,47.675713,58.110001000000004,55.13510242857138,-1.542857571428572,-0.6657150000000058,-2.0
01/31/2014,58.475716000000006,3.0,4.0,54.46143000000001,58.475716000000006,56.67795999999995,-0.3195915714285706,0.7071460000000087,-1.0
02/03/2014,57.76857,4.0,3.0,54.46143000000001,58.475716000000006,56.997551571428524,-0.4046941428571427,-0.21857399999999672,-2.0
02/04/2014,57.987143999999994,4.0,3.0,54.46143000000001,58.475716000000006,57.40224571428566,-0.4732648571428553,0.21285999999999916,0.0
02/05/2014,57.774283999999994,4.0,3.0,57.202858,58.475716000000006,57.87551057142853,-0.02326528571428404,-0.49857399999999785,-2.0
02/06/2014,58.27285799999999,5.0,2.0,57.202858,58.475716000000006,57.89877585714281,-0.6032650000000004,-3.1528550000000095,-2.0
02/07/2014,61.425713,5.0,2.0,57.76857,61.425713,58.5020408571428,-0.5259181428571438,-0.06571500000000441,-2.0
02/10/2014,61.491428000000006,5.0,2.0,57.76857,61.491428000000006,59.027958999999946,-0.503265285714285,-0.5071449999999942,-2.0
02/11/2014,61.998573,5.0,2.0,57.76857,61.998573,59.53122428571424,-0.5010207142857155,0.7228579999999951,0.0
02/12/2014,61.275715000000005,5.0,2.0,57.774283999999994,61.998573,60.032244999999946,-0.6253058571428574,-1.08856999999999,-2.0
02/13/2014,62.364284999999995,5.0,2.0,57.774283999999994,62.364284999999995,60.6575508571428,-0.6344900000000006,0.1485709999999969,0.0
02/14/2014,62.215714,5.0,2.0,58.27285799999999,62.364284999999995,61.2920408571428,-0.5906121428571447,-0.1914290000000065,-2.0
02/18/2014,62.407143000000005,4.0,3.0,61.275715000000005,62.407143000000005,61.88265299999995,0.03571428571428571,1.2314300000000031,-1.0
02/19/2014,61.175713,4.0,3.0,61.175713,62.407143000000005,61.84693871428567,-0.09204099999999979,-0.9600020000000029,-2.0
02/20/2014,62.135715000000005,3.0,4.0,61.175713,62.407143000000005,61.93897971428567,0.035918571428570294,0.38857199999999636,2.0
02/21/2014,61.74714300000001,4.0,3.0,61.175713,62.407143000000005,61.9030611428571,-0.3687754285714289,-2.1099999999999994,-2.0
02/24/2014,63.85714300000001,4.0,3.0,61.175713,63.85714300000001,62.27183657142853,-0.3363271428571437,-0.8614319999999935,-2.0
02/25/2014,64.718575,4.0,3.0,61.175713,64.718575,62.60816371428567,-0.27102000000000004,0.6057210000000026,0.0
02/26/2014,64.112854,4.0,3.0,61.175713,64.718575,62.879183714285666,-0.313877571428571,-0.4914320000000032,-2.0
02/27/2014,64.604286,4.0,3.0,61.175713,64.718575,63.193061285714236,-0.3551024285714287,0.942855999999999,0.0
02/28/2014,63.66143,3.0,4.0,61.74714300000001,64.718575,63.54816371428566,-0.21714300000000009,0.005713999999997554,-1.0
03/03/2014,63.655716000000005,4.0,3.0,61.74714300000001,64.718575,63.76530671428566,-0.46428628571428426,-1.341430999999993,-2.0
03/04/2014,64.997147,3.0,4.0,63.655716000000005,64.997147,64.22959299999994,-0.1326528571428562,0.211433999999997,-1.0
03/05/2014,64.785713,2.0,5.0,63.655716000000005,64.997147,64.3622458571428,0.05142871428571384,0.4271389999999968,2.0
03/06/2014,64.358574,2.0,5.0,63.655716000000005,64.997147,64.31081714285709,0.008571142857141873,0.3057179999999988,2.0
03/07/2014,64.052856,1.0,6.0,63.655716000000005,64.997147,64.30224599999995,0.2506125714285718,1.2028580000000062,2.0
03/10/2014,62.849998,1.0,6.0,62.849998,64.997147,64.05163342857138,0.1663267142857135,0.35285499999999104,2.0
03/11/2014,62.49714300000001,1.0,6.0,62.49714300000001,64.997147,63.88530671428567,0.183877714285715,0.12857100000000798,2.0
03/12/2014,62.368572,0.0,7.0,62.368572,64.997147,63.70142899999996,0.5085722857142849,0.9314309999999963,2.0
03/13/2014,61.437141000000004,0.0,7.0,61.437141000000004,64.785713,63.192856714285675,0.5920404285714278,0.7957109999999972,2.0
03/14/2014,60.64143000000001,0.0,7.0,60.64143000000001,64.358574,62.60081628571425,0.5671430000000005,0.2528570000000059,2.0
03/17/2014,60.388573,0.0,7.0,60.388573,64.052856,62.03367328571426,0.5738775714285721,0.35285999999999973,2.0
03/18/2014,60.035713,0.0,7.0,60.035713,62.849998,61.45979571428568,0.405305999999999,0.022856999999994798,2.0
03/19/2014,60.012856000000006,1.0,6.0,60.012856000000006,62.49714300000001,61.05448971428569,0.2695917142857149,-0.5971449999999976,-1.0
03/20/2014,60.610001000000004,1.0,6.0,60.012856000000006,62.368572,60.78489799999998,0.6242855714285714,2.6114280000000036,2.0
03/21/2014,57.998573,1.0,6.0,57.998573,61.437141000000004,60.16061242857141,1.04408142857143,3.8700020000000066,2.0
03/24/2014,54.128570999999994,1.0,6.0,54.128570999999994,60.64143000000001,59.11653099999997,1.0948982857142855,1.151428999999986,2.0
03/25/2014,52.97714200000001,2.0,5.0,52.97714200000001,60.610001000000004,58.021632714285694,1.0293878571428579,-0.20571599999998824,-1.0
03/26/2014,53.182857999999996,2.0,5.0,52.97714200000001,60.610001000000004,56.992244857142836,1.144285428571428,1.1571429999999907,2.0
03/27/2014,52.025715000000005,2.0,5.0,52.025715000000005,60.610001000000004,55.84795942857141,1.2493875714285727,0.758572000000008,2.0
03/28/2014,51.267143,1.0,6.0,51.267143,60.610001000000004,54.59857185714283,1.4742857142857144,0.9771419999999935,2.0
03/31/2014,50.290001000000004,2.0,5.0,50.290001000000004,57.998573,53.124286142857116,0.8428572857142862,-1.8085709999999935,-1.0
04/01/2014,52.098572,2.0,5.0,50.290001000000004,54.128570999999994,52.28142885714283,0.3269387142857129,0.2585719999999938,2.0
04/02/2014,51.84,2.0,5.0,50.290001000000004,53.182857999999996,51.954490142857125,0.32959200000000116,1.1700020000000038,2.0
